BayesianSearch: Testing config: {'weights1': 0.10263073845662996, 'weights2': 0.152335096776273, 'weights3': 0.3469351888199641, 'weights4': 0.6207044914034202} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.7774988027864671, 'weights2': 0.7159187325191956, 'weights3': 0.13412509538281525, 'weights4': 0.003626051271387376} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.27885764219832554, 'weights2': 0.2196178470986755, 'weights3': 0.984182388830105, 'weights4': 0.16808441996612955} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.3413109423875792, 'weights2': 0.6878711042084658, 'weights3': 0.8976029533686853, 'weights4': 0.8812085681526639} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.9910255482128776, 'weights2': 0.3654615706667802, 'weights3': 0.07062807989768194, 'weights4': 0.1486202994449043} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.34649292998490655, 'weights2': 0.2591966776823238, 'weights3': 0.13676031825711477, 'weights4': 0.46975561675823996} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.05966981373809099, 'weights2': 0.7022777825222043, 'weights3': 0.9354254290389303, 'weights4': 0.41436759067824225} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.4832797348321203, 'weights2': 0.8249698640253372, 'weights3': 0.46515300839001816, 'weights4': 0.4445331164307784} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6302574229800821, 'weights2': 0.20695684963164662, 'weights3': 0.5872034170517271, 'weights4': 0.8676807628696422} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.17046852084158692, 'weights2': 0.7296900393549699, 'weights3': 0.5700396855834983, 'weights4': 0.23930311593677667} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.10795610776362463, 'weights2': 0.5472582461745914, 'weights3': 0.009625730737330418, 'weights4': 0.8934875745221709} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.3028465415902617, 'weights2': 0.5036972485128202, 'weights3': 0.8874029363994427, 'weights4': 0.28540515189826354} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.42472351311011936, 'weights2': 0.11255325226479274, 'weights3': 0.9214640166241861, 'weights4': 0.4534687404333332} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6523805761862851, 'weights2': 0.5414727435523066, 'weights3': 0.8065479708678948, 'weights4': 0.37801602311464344} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.06337886137060134, 'weights2': 0.337451507588458, 'weights3': 0.7279468496178131, 'weights4': 0.10119370149216322} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6033354316914399, 'weights2': 0.6888665572741146, 'weights3': 0.6989065101275972, 'weights4': 0.3518090209655593} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.007348423629785716, 'weights2': 0.4931090732722818, 'weights3': 0.7613820041407501, 'weights4': 0.5267928143896048, 'weights5': 0.015661856623423343} - MAP results: 0.054227716930139065 - time: 2018-12-15 00:44:41.558437
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.0002745226389764266, 'weights2': 0.019779391454201156, 'weights3': 0.53080865163788, 'weights4': 0.020175915367565578, 'weights5': 0.022888379784153923} - MAP results: 0.05508643993149833 - time: 2018-12-15 00:47:28.952204
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.005208891052545739, 'weights2': 0.01709838588132373, 'weights3': 0.22878189798736215, 'weights4': 0.41398827686953177, 'weights5': 0.018510188552205653} - MAP results: 0.056152219396858216 - time: 2018-12-15 00:50:16.413568
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5325997339652384, 'weights2': 0.9769672775570589, 'weights3': 0.9682541162716447, 'weights4': 0.04970942892572383, 'weights5': 0.970368423237656} - MAP results: 0.05381868386611817 - time: 2018-12-15 00:53:01.702366
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4373769886988259, 'weights2': 0.9892241829871372, 'weights3': 0.5577361557402537, 'weights4': 0.9680026746395541, 'weights5': 0.9760264312032835} - MAP results: 0.05546273890025289 - time: 2018-12-15 00:55:39.117272
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.08522114694986516, 'weights2': 0.9605029253444742, 'weights3': 0.013127991592774335, 'weights4': 0.9942438812339652, 'weights5': 0.014533240601945718} - MAP results: 0.05521689198949154 - time: 2018-12-15 00:58:15.601205
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.7539651708395909, 'weights2': 0.9838195111159931, 'weights3': 0.01180569616156002, 'weights4': 0.03729934401386048, 'weights5': 0.9946822027361585} - MAP results: 0.051212211415944155 - time: 2018-12-15 01:00:35.509376
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.02899249254954883, 'weights2': 0.2939517260067719, 'weights3': 0.13418125698735228, 'weights4': 0.1454538531406825, 'weights5': 0.009628864218472422} - MAP results: 0.055058338411369104 - time: 2018-12-15 01:02:51.669473
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2733384473935494, 'weights2': 0.9732343567306799, 'weights3': 0.008089026898974283, 'weights4': 0.9857629205315869, 'weights5': 0.6849805527458467} - MAP results: 0.05617323958448979 - time: 2018-12-15 01:05:05.286118
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.395504008779508, 'weights2': 0.9987674661838125, 'weights3': 0.8583871498821551, 'weights4': 0.5482539356403807, 'weights5': 0.6444535430850862} - MAP results: 0.05525720081471507 - time: 2018-12-15 01:07:25.274244
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4003247500027378, 'weights2': 0.9786939783060631, 'weights3': 0.00648395478581798, 'weights4': 0.8884043629130823, 'weights5': 0.979550517410357} - MAP results: 0.05555920897424218 - time: 2018-12-15 01:09:38.971276
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.40963711261074975, 'weights2': 0.9482167148833115, 'weights3': 0.004543313756422029, 'weights4': 0.9942918746940779, 'weights5': 0.0606967455569668} - MAP results: 0.05453791615049821 - time: 2018-12-15 01:11:52.235858
