BayesianSearch: Testing config: {'topK': 150, 'shrink': 50, 'similarity': 'dice', 'normalize': True} - Exception too many indices for array
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 10, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.4818453333333299, 'PRECISION': 0.16432999999999673, 'RECALL': 0.16432999999999673, 'RECALL_TEST_LEN': 0.16432999999999673, 'MAP': 0.09220894047618945, 'MRR': 0.4347017460317482, 'NDCG': 0.18948641043305398, 'F1': 0.16432999999999673, 'HIT_RATE': 1.6433, 'ARHR': 0.6243555158730181, 'NOVELTY': 0.005592052437576858, 'DIVERSITY_MEAN_INTER_LIST': 0.989584096409641, 'DIVERSITY_HERFINDAHL': 0.9989485138, 'COVERAGE_ITEM': 0.266779743154834, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25407312023247364, 'SHANNON_ENTROPY': 10.76775633704463} - time: 2018-11-30 11:19:15.775803
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.47796850793650436, 'PRECISION': 0.16082999999999706, 'RECALL': 0.16082999999999706, 'RECALL_TEST_LEN': 0.16082999999999706, 'MAP': 0.0909887063492059, 'MRR': 0.4320688888888917, 'NDCG': 0.18659024097174406, 'F1': 0.16082999999999706, 'HIT_RATE': 1.6083, 'ARHR': 0.6177010714285729, 'NOVELTY': 0.005612989732100734, 'DIVERSITY_MEAN_INTER_LIST': 0.9903879767976798, 'DIVERSITY_HERFINDAHL': 0.9990288938, 'COVERAGE_ITEM': 0.28645505209595346, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25832351488497973, 'SHANNON_ENTROPY': 10.889762001381278} - time: 2018-11-30 11:20:20.275377
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 300, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.48345011507936053, 'PRECISION': 0.16337999999999692, 'RECALL': 0.16337999999999692, 'RECALL_TEST_LEN': 0.16337999999999692, 'MAP': 0.09161074603174531, 'MRR': 0.4357284523809543, 'NDCG': 0.18885016207545996, 'F1': 0.16337999999999692, 'HIT_RATE': 1.6338, 'ARHR': 0.6233685317460322, 'NOVELTY': 0.005560017756166877, 'DIVERSITY_MEAN_INTER_LIST': 0.9888141794179418, 'DIVERSITY_HERFINDAHL': 0.9988715298, 'COVERAGE_ITEM': 0.24996365398594622, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2486297344446598, 'SHANNON_ENTROPY': 10.648121704228076} - time: 2018-11-30 11:21:33.856088
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.4637306111111088, 'PRECISION': 0.15784999999999735, 'RECALL': 0.15784999999999735, 'RECALL_TEST_LEN': 0.15784999999999735, 'MAP': 0.0900547499999992, 'MRR': 0.42140015873016035, 'NDCG': 0.18311819749176503, 'F1': 0.15784999999999735, 'HIT_RATE': 1.5785, 'ARHR': 0.6062029365079379, 'NOVELTY': 0.005662241303961116, 'DIVERSITY_MEAN_INTER_LIST': 0.9912339333933393, 'DIVERSITY_HERFINDAHL': 0.999113481, 'COVERAGE_ITEM': 0.32289798885388904, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2610117406962785, 'SHANNON_ENTROPY': 11.060874641048022} - time: 2018-11-30 11:22:39.654930
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.48722346825396623, 'PRECISION': 0.1643599999999967, 'RECALL': 0.1643599999999967, 'RECALL_TEST_LEN': 0.1643599999999967, 'MAP': 0.09170270238095164, 'MRR': 0.4367061904761923, 'NDCG': 0.1895263418868184, 'F1': 0.1643599999999967, 'HIT_RATE': 1.6436, 'ARHR': 0.624448333333335, 'NOVELTY': 0.00555181016475519, 'DIVERSITY_MEAN_INTER_LIST': 0.9883515091509152, 'DIVERSITY_HERFINDAHL': 0.9988252674, 'COVERAGE_ITEM': 0.23901138841773686, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24778087573484694, 'SHANNON_ENTROPY': 10.583362628648041} - time: 2018-11-30 11:24:35.129879
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4857810753968235, 'PRECISION': 0.16304999999999728, 'RECALL': 0.16304999999999728, 'RECALL_TEST_LEN': 0.16304999999999728, 'MAP': 0.09142983333333202, 'MRR': 0.43577761904762147, 'NDCG': 0.18853271037712693, 'F1': 0.16304999999999728, 'HIT_RATE': 1.6305, 'ARHR': 0.6224799206349217, 'NOVELTY': 0.0055675855613860695, 'DIVERSITY_MEAN_INTER_LIST': 0.9887182518251825, 'DIVERSITY_HERFINDAHL': 0.998861938, 'COVERAGE_ITEM': 0.25035134480251997, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.247637665957035, 'SHANNON_ENTROPY': 10.643395382521259} - time: 2018-11-30 11:25:37.716911
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 500, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4833355277777731, 'PRECISION': 0.16327999999999676, 'RECALL': 0.16327999999999676, 'RECALL_TEST_LEN': 0.16327999999999676, 'MAP': 0.0915160079365071, 'MRR': 0.435710595238097, 'NDCG': 0.18874471541047097, 'F1': 0.16327999999999676, 'HIT_RATE': 1.6328, 'ARHR': 0.6230446031746047, 'NOVELTY': 0.005559220106073289, 'DIVERSITY_MEAN_INTER_LIST': 0.9887861706170618, 'DIVERSITY_HERFINDAHL': 0.9988687292, 'COVERAGE_ITEM': 0.2495275018173007, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2485575495145631, 'SHANNON_ENTROPY': 10.645060362076984} - time: 2018-11-30 11:27:07.322700
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 300, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.48345011507936053, 'PRECISION': 0.16337999999999692, 'RECALL': 0.16337999999999692, 'RECALL_TEST_LEN': 0.16337999999999692, 'MAP': 0.09161074603174531, 'MRR': 0.4357284523809543, 'NDCG': 0.18885016207545996, 'F1': 0.16337999999999692, 'HIT_RATE': 1.6338, 'ARHR': 0.6233685317460322, 'NOVELTY': 0.005560017756166877, 'DIVERSITY_MEAN_INTER_LIST': 0.9888141794179418, 'DIVERSITY_HERFINDAHL': 0.9988715298, 'COVERAGE_ITEM': 0.24996365398594622, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2486297344446598, 'SHANNON_ENTROPY': 10.648121704228076} - time: 2018-11-30 11:28:17.726911
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.4857810753968235, 'PRECISION': 0.16304999999999728, 'RECALL': 0.16304999999999728, 'RECALL_TEST_LEN': 0.16304999999999728, 'MAP': 0.09142983333333202, 'MRR': 0.43577761904762147, 'NDCG': 0.18853271037712693, 'F1': 0.16304999999999728, 'HIT_RATE': 1.6305, 'ARHR': 0.6224799206349217, 'NOVELTY': 0.0055675855613860695, 'DIVERSITY_MEAN_INTER_LIST': 0.9887182518251825, 'DIVERSITY_HERFINDAHL': 0.998861938, 'COVERAGE_ITEM': 0.25035134480251997, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.247637665957035, 'SHANNON_ENTROPY': 10.643395382521259} - time: 2018-11-30 11:29:26.310892
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.47796850793650436, 'PRECISION': 0.16082999999999706, 'RECALL': 0.16082999999999706, 'RECALL_TEST_LEN': 0.16082999999999706, 'MAP': 0.0909887063492059, 'MRR': 0.4320688888888917, 'NDCG': 0.18659024097174406, 'F1': 0.16082999999999706, 'HIT_RATE': 1.6083, 'ARHR': 0.6177010714285729, 'NOVELTY': 0.005612989732100734, 'DIVERSITY_MEAN_INTER_LIST': 0.9903879767976798, 'DIVERSITY_HERFINDAHL': 0.9990288938, 'COVERAGE_ITEM': 0.28645505209595346, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25832351488497973, 'SHANNON_ENTROPY': 10.889762001381278} - time: 2018-11-30 11:30:35.515947
