BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.9, 'weights3': 0.5, 'weights4': 0.9, 'weights5': 0.0, 'normalize': False} - MAP results: 0.03686855555555569 - time: 2018-11-30 17:52:32.118909
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.6000000000000001, 'weights3': 1.0, 'weights4': 1.0, 'weights5': 1.0, 'normalize': False} - MAP results: 0.0379414087301589 - time: 2018-11-30 17:53:22.483614
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.7000000000000001, 'weights3': 0.0, 'weights4': 0.5, 'weights5': 1.0, 'normalize': False} - MAP results: 0.036961527777777906 - time: 2018-11-30 17:53:45.752916
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.1, 'weights3': 0.6000000000000001, 'weights4': 1.0, 'weights5': 0.0, 'normalize': False} - MAP results: 0.03657003968253978 - time: 2018-11-30 17:54:08.221300
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.4, 'weights3': 0.9, 'weights4': 1.0, 'weights5': 0.5, 'normalize': False} - MAP results: 0.03803067857142868 - time: 2018-11-30 17:54:36.332060
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.30000000000000004, 'weights3': 0.7000000000000001, 'weights4': 0.8, 'weights5': 0.4, 'normalize': True} - MAP results: 0.03800144841269849 - time: 2018-11-30 17:55:00.401277
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.5, 'weights3': 1.0, 'weights4': 0.7000000000000001, 'weights5': 0.9, 'normalize': False} - MAP results: 0.03783893253968272 - time: 2018-11-30 17:55:23.670751
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.4, 'weights3': 1.0, 'weights4': 1.0, 'weights5': 0.1, 'normalize': True} - MAP results: 0.036806250000000124 - time: 2018-11-30 17:55:45.640250
BayesianSearch: New best config found. Config: {'weights1': 0.2, 'weights2': 0.2, 'weights3': 0.6000000000000001, 'weights4': 0.7000000000000001, 'weights5': 0.4, 'normalize': False} - MAP results: 0.038202285714285904 - time: 2018-11-30 17:56:08.564784
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.30000000000000004, 'weights3': 0.6000000000000001, 'weights4': 0.4, 'weights5': 0.4, 'normalize': False} - MAP results: 0.03794776984127003 - time: 2018-11-30 17:56:31.059512
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.30000000000000004, 'weights3': 0.6000000000000001, 'weights4': 0.7000000000000001, 'weights5': 0.5, 'normalize': False} - MAP results: 0.037998107142857285 - time: 2018-11-30 17:56:54.281988
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.8, 'weights3': 0.9, 'weights4': 1.0, 'weights5': 0.7000000000000001, 'normalize': True} - MAP results: 0.03775208333333348 - time: 2018-11-30 17:57:17.371535
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.30000000000000004, 'weights3': 0.8, 'weights4': 0.5, 'weights5': 0.4, 'normalize': False} - MAP results: 0.03805955158730176 - time: 2018-11-30 17:57:41.562430
BayesianSearch: New best config found. Config: {'weights1': 0.2, 'weights2': 0.2, 'weights3': 0.7000000000000001, 'weights4': 0.5, 'weights5': 0.4, 'normalize': True} - MAP results: 0.038208698412698604 - time: 2018-11-30 17:58:06.508961
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.30000000000000004, 'weights3': 0.7000000000000001, 'weights4': 0.6000000000000001, 'weights5': 0.4, 'normalize': False} - MAP results: 0.03799511507936519 - time: 2018-11-30 17:59:24.274049
