BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 4, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.0354600034486016 - time: 2019-01-08 11:06:13.665917
BayesianSearch: Config is suboptimal. Config: {'topK': 140, 'shrink': 9, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.035265596844293194 - time: 2019-01-08 11:06:33.151133
BayesianSearch: Config is suboptimal. Config: {'topK': 140, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.03623159597820596 - time: 2019-01-08 11:06:49.323695
BayesianSearch: Config is suboptimal. Config: {'topK': 80, 'shrink': 18, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.035809273179642095 - time: 2019-01-08 11:07:05.383691
BayesianSearch: Config is suboptimal. Config: {'topK': 170, 'shrink': 13, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.028342141345426994 - time: 2019-01-08 11:07:23.170194
BayesianSearch: Config is suboptimal. Config: {'topK': 70, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.03625879994960938 - time: 2019-01-08 11:07:39.298864
BayesianSearch: Config is suboptimal. Config: {'topK': 110, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.03538307431027957 - time: 2019-01-08 11:07:59.010661
BayesianSearch: Config is suboptimal. Config: {'topK': 230, 'shrink': 11, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.035298232819979763 - time: 2019-01-08 11:08:19.109347
BayesianSearch: Config is suboptimal. Config: {'topK': 220, 'shrink': 18, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.03633916876102281 - time: 2019-01-08 11:08:35.613690
BayesianSearch: Config is suboptimal. Config: {'topK': 120, 'shrink': 16, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.0358200984504912 - time: 2019-01-08 11:08:55.314968
BayesianSearch: Config is suboptimal. Config: {'topK': 90, 'shrink': 14, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.03571875425170058 - time: 2019-01-08 11:09:14.936642
BayesianSearch: Config is suboptimal. Config: {'topK': 110, 'shrink': 15, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 1} - MAP results: 0.03562886004031232 - time: 2019-01-08 11:09:34.782087
BayesianSearch: Config is suboptimal. Config: {'topK': 120, 'shrink': 6, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.03576826718002004 - time: 2019-01-08 11:09:51.107607
BayesianSearch: Config is suboptimal. Config: {'topK': 90, 'shrink': 9, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.03567788068468115 - time: 2019-01-08 11:10:07.388206
BayesianSearch: Config is suboptimal. Config: {'topK': 190, 'shrink': 9, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.028691646305744462 - time: 2019-01-08 11:10:23.961820
BayesianSearch: Config is suboptimal. Config: {'topK': 110, 'shrink': 7, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.00791786202443941 - time: 2019-01-08 11:10:37.049556
BayesianSearch: Config is suboptimal. Config: {'topK': 240, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.03247186112685805 - time: 2019-01-08 11:11:03.083816
BayesianSearch: Config is suboptimal. Config: {'topK': 40, 'shrink': 19, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.008285295855379201 - time: 2019-01-08 11:11:37.493214
