BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: {'ROC_AUC': 0.40467068253967925, 'PRECISION': 0.11748000000000311, 'RECALL': 0.11748000000000311, 'RECALL_TEST_LEN': 0.11748000000000311, 'MAP': 0.05891598412698437, 'MRR': 0.33502750000000103, 'NDCG': 0.1343155575349927, 'F1': 0.11748000000000311, 'HIT_RATE': 1.1748, 'ARHR': 0.4400322619047654, 'NOVELTY': 0.005116680282420329, 'DIVERSITY_MEAN_INTER_LIST': 0.9365823402340234, 'DIVERSITY_HERFINDAHL': 0.9936488682, 'COVERAGE_ITEM': 0.06571359340925612, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.15553271923360354, 'SHANNON_ENTROPY': 8.068104886829268} - time: 2018-11-30 11:19:19.110712
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'alpha': 2.0, 'beta': 0.0, 'normalize_similarity': False} - results: {'ROC_AUC': 0.1330163253968255, 'PRECISION': 0.03173999999999997, 'RECALL': 0.03173999999999997, 'RECALL_TEST_LEN': 0.03173999999999997, 'MAP': 0.015571777777777737, 'MRR': 0.10199599206349222, 'NDCG': 0.03701669888421893, 'F1': 0.03173999999999997, 'HIT_RATE': 0.3174, 'ARHR': 0.12340329365079344, 'NOVELTY': 0.006951549984665104, 'DIVERSITY_MEAN_INTER_LIST': 0.998711501150115, 'DIVERSITY_HERFINDAHL': 0.999861163, 'COVERAGE_ITEM': 0.6720620305306518, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.522457359578917, 'SHANNON_ENTROPY': 13.20979690831328} - time: 2018-11-30 11:19:48.410461
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'alpha': 2.0, 'beta': 2.0, 'normalize_similarity': False} - results: {'ROC_AUC': 0.010870583333333331, 'PRECISION': 0.0026600000000000065, 'RECALL': 0.0026600000000000065, 'RECALL_TEST_LEN': 0.0026600000000000065, 'MAP': 0.0012234047619047617, 'MRR': 0.007427261904761909, 'NDCG': 0.002891776133328676, 'F1': 0.0026600000000000065, 'HIT_RATE': 0.0266, 'ARHR': 0.009101428571428575, 'NOVELTY': 0.009317323238065174, 'DIVERSITY_MEAN_INTER_LIST': 0.996359195919592, 'DIVERSITY_HERFINDAHL': 0.999625956, 'COVERAGE_ITEM': 0.4206929973346256, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3744896728864317, 'SHANNON_ENTROPY': 12.05081447644921} - time: 2018-11-30 11:20:33.717111
BayesianSearch: New best config found. Config: {'topK': 20, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': True} - results: {'ROC_AUC': 0.46980095238094816, 'PRECISION': 0.15105999999999772, 'RECALL': 0.15105999999999772, 'RECALL_TEST_LEN': 0.15105999999999772, 'MAP': 0.0858668214285707, 'MRR': 0.415574166666669, 'NDCG': 0.17644208497405053, 'F1': 0.15105999999999772, 'HIT_RATE': 1.5106, 'ARHR': 0.5868088888888917, 'NOVELTY': 0.005703494379425105, 'DIVERSITY_MEAN_INTER_LIST': 0.9900744834483448, 'DIVERSITY_HERFINDAHL': 0.9989975476, 'COVERAGE_ITEM': 0.26028592197722317, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.27565768428890547, 'SHANNON_ENTROPY': 10.856015409809261} - time: 2018-11-30 11:21:03.293074
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: {'ROC_AUC': 0.4227569365079337, 'PRECISION': 0.1255400000000016, 'RECALL': 0.1255400000000016, 'RECALL_TEST_LEN': 0.1255400000000016, 'MAP': 0.06458896825396818, 'MRR': 0.3557679761904777, 'NDCG': 0.14429875913932919, 'F1': 0.1255400000000016, 'HIT_RATE': 1.2554, 'ARHR': 0.47453412698412967, 'NOVELTY': 0.005168315779639956, 'DIVERSITY_MEAN_INTER_LIST': 0.9498921292129213, 'DIVERSITY_HERFINDAHL': 0.994979714, 'COVERAGE_ITEM': 0.08010661497455779, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.16573437726723095, 'SHANNON_ENTROPY': 8.435998478307402} - time: 2018-11-30 11:21:36.657561
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'alpha': 0.0, 'beta': 2.0, 'normalize_similarity': True} - results: {'ROC_AUC': 0.0058544642857142875, 'PRECISION': 0.0015599999999999978, 'RECALL': 0.0015599999999999978, 'RECALL_TEST_LEN': 0.0015599999999999978, 'MAP': 0.0008022936507936503, 'MRR': 0.004235277777777781, 'NDCG': 0.0017233169481158256, 'F1': 0.0015599999999999978, 'HIT_RATE': 0.0156, 'ARHR': 0.005492658730158735, 'NOVELTY': 0.009650074381216046, 'DIVERSITY_MEAN_INTER_LIST': 0.978857601760176, 'DIVERSITY_HERFINDAHL': 0.9978759716, 'COVERAGE_ITEM': 0.1611339956384783, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21451861094407695, 'SHANNON_ENTROPY': 9.783027434668831} - time: 2018-11-30 11:22:20.915036
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: {'ROC_AUC': 0.4209747936507916, 'PRECISION': 0.12427000000000175, 'RECALL': 0.12427000000000175, 'RECALL_TEST_LEN': 0.12427000000000175, 'MAP': 0.06470400396825397, 'MRR': 0.3590129761904777, 'NDCG': 0.14407763650789857, 'F1': 0.12427000000000175, 'HIT_RATE': 1.2427, 'ARHR': 0.47714257936508203, 'NOVELTY': 0.005219956194515029, 'DIVERSITY_MEAN_INTER_LIST': 0.9605992439243926, 'DIVERSITY_HERFINDAHL': 0.9960503184, 'COVERAGE_ITEM': 0.09004119214926097, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1812115330823023, 'SHANNON_ENTROPY': 8.74896645593669} - time: 2018-11-30 11:22:51.307808
BayesianSearch: New best config found. Config: {'topK': 5, 'alpha': 0.6863427988147179, 'beta': 1.7047507214705304, 'normalize_similarity': True} - results: {'ROC_AUC': 0.005488492063492064, 'PRECISION': 0.0010799999999999985, 'RECALL': 0.0010799999999999985, 'RECALL_TEST_LEN': 0.0010799999999999985, 'MAP': 0.000555742063492063, 'MRR': 0.004135198412698415, 'NDCG': 0.001353764147311449, 'F1': 0.0010799999999999985, 'HIT_RATE': 0.0108, 'ARHR': 0.004740833333333335, 'NOVELTY': 0.009554911880823877, 'DIVERSITY_MEAN_INTER_LIST': 0.9854980238023803, 'DIVERSITY_HERFINDAHL': 0.9985399474, 'COVERAGE_ITEM': 0.20707535740247152, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24892386523163315, 'SHANNON_ENTROPY': 10.369002546862657} - time: 2018-11-30 11:24:41.696530
BayesianSearch: New best config found. Config: {'topK': 150, 'alpha': 1.5890147620983466, 'beta': 0.28778362462762974, 'normalize_similarity': True} - results: {'ROC_AUC': 0.4869408928571408, 'PRECISION': 0.17017999999999725, 'RECALL': 0.17017999999999725, 'RECALL_TEST_LEN': 0.17017999999999725, 'MAP': 0.09540586111111, 'MRR': 0.4403319841269855, 'NDCG': 0.19483356978520752, 'F1': 0.17017999999999725, 'HIT_RATE': 1.7018, 'ARHR': 0.6385581349206354, 'NOVELTY': 0.005657226286051478, 'DIVERSITY_MEAN_INTER_LIST': 0.9862210361036104, 'DIVERSITY_HERFINDAHL': 0.9986122414, 'COVERAGE_ITEM': 0.31490186576205476, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21382974303739036, 'SHANNON_ENTROPY': 10.614738441766796} - time: 2018-11-30 11:25:07.225703
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.1472788186197207, 'beta': 1.105277087195794, 'normalize_similarity': False} - results: {'ROC_AUC': 0.02717902380952382, 'PRECISION': 0.008039999999999999, 'RECALL': 0.008039999999999999, 'RECALL_TEST_LEN': 0.008039999999999999, 'MAP': 0.0031360753968254053, 'MRR': 0.01797730158730155, 'NDCG': 0.007917891727387905, 'F1': 0.008039999999999999, 'HIT_RATE': 0.0804, 'ARHR': 0.022796230158730103, 'NOVELTY': 0.009174831964151246, 'DIVERSITY_MEAN_INTER_LIST': 0.9970205160516052, 'DIVERSITY_HERFINDAHL': 0.9996920814, 'COVERAGE_ITEM': 0.4839350617882239, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3933738379893862, 'SHANNON_ENTROPY': 12.320725189024246} - time: 2018-11-30 11:25:40.917291
