BayesianSearch: Testing config: {'top1': 350, 'shrink1': -1, 'alphaP3': 0.790184368737475} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 1.0465691382765532} - MAP results: 0.04739867532342223 - time: 2018-12-14 21:23:47.535963
BayesianSearch: Config is suboptimal. Config: {'top1': 230, 'shrink1': -1, 'alphaP3': 1.7195791583166333} - MAP results: 0.04868193654464174 - time: 2018-12-14 21:24:53.126471
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 0.914370741482966} - MAP results: 0.0472690147097768 - time: 2018-12-14 21:26:01.990842
BayesianSearch: Config is suboptimal. Config: {'top1': 350, 'shrink1': -1, 'alphaP3': 0.5297935871743488} - MAP results: 0.04778256415859497 - time: 2018-12-14 21:27:08.002062
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 1.6995490981963928} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:28:01.598703
BayesianSearch: Config is suboptimal. Config: {'top1': 360, 'shrink1': -1, 'alphaP3': 2.0} - MAP results: 0.045948042828092096 - time: 2018-12-14 21:29:05.772275
BayesianSearch: Config is suboptimal. Config: {'top1': 460, 'shrink1': -1, 'alphaP3': 1.7356032064128257} - MAP results: 0.04691683926228684 - time: 2018-12-14 21:30:11.842136
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 1.3229839679358717} - MAP results: 0.047496215207190245 - time: 2018-12-14 21:31:15.610937
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.2613907815631263} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:32:05.970741
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 1.4752124248496994} - MAP results: 0.04720619273735174 - time: 2018-12-14 21:33:20.679235
BayesianSearch: Config is suboptimal. Config: {'top1': 320, 'shrink1': -1, 'alphaP3': 1.8678016032064129} - MAP results: 0.047095674219497216 - time: 2018-12-14 21:34:27.798152
BayesianSearch: Config is suboptimal. Config: {'top1': 330, 'shrink1': -1, 'alphaP3': 1.6434649298597195} - MAP results: 0.04812304757748902 - time: 2018-12-14 21:35:33.033586
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 1.0706052104208417} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:36:28.750258
