BayesianSearch: Config is suboptimal. Config: {'top1': 111, 'lambda_i': 0.9976868383274582, 'lambda_j': 0.08241505281704431, 'shrink1': -1} - MAP results: 0.022152417440087693 - time: 2018-12-15 12:53:06.373368
BayesianSearch: Config is suboptimal. Config: {'top1': 391, 'lambda_i': 0.9947602121800608, 'lambda_j': 0.9501243759107348, 'shrink1': -1} - MAP results: 0.0221296019944274 - time: 2018-12-15 12:56:42.351384
BayesianSearch: Config is suboptimal. Config: {'top1': 321, 'lambda_i': 0.9876229895434486, 'lambda_j': 0.9864521477451921, 'shrink1': -1} - MAP results: 0.022220395530047846 - time: 2018-12-15 13:00:17.141061
BayesianSearch: Config is suboptimal. Config: {'top1': 171, 'lambda_i': 0.005293070586770421, 'lambda_j': 0.9956098428337447, 'shrink1': -1} - MAP results: 0.021625087265182346 - time: 2018-12-15 13:03:44.579077
BayesianSearch: Config is suboptimal. Config: {'top1': 461, 'lambda_i': 0.9881941257198594, 'lambda_j': 0.006486833927856095, 'shrink1': -1} - MAP results: 0.02215164706317258 - time: 2018-12-15 13:07:22.235115
BayesianSearch: Config is suboptimal. Config: {'top1': 711, 'lambda_i': 0.9751817285094353, 'lambda_j': 0.009494072462206238, 'shrink1': -1} - MAP results: 0.022024159148293403 - time: 2018-12-15 13:11:05.453131
BayesianSearch: Config is suboptimal. Config: {'top1': 501, 'lambda_i': 0.9998603339981413, 'lambda_j': 0.9233348728430193, 'shrink1': -1} - MAP results: 0.021938210351120747 - time: 2018-12-15 13:14:40.382003
BayesianSearch: Config is suboptimal. Config: {'top1': 311, 'lambda_i': 0.025294335579054805, 'lambda_j': 0.026842917828773682, 'shrink1': -1} - MAP results: 0.021398972313349345 - time: 2018-12-15 13:18:14.593066
BayesianSearch: Config is suboptimal. Config: {'top1': 731, 'lambda_i': 0.9677528525456737, 'lambda_j': 0.9880094517111849, 'shrink1': -1} - MAP results: 0.02202512954875862 - time: 2018-12-15 13:21:55.023917
BayesianSearch: Config is suboptimal. Config: {'top1': 591, 'lambda_i': 0.9719702819715569, 'lambda_j': 0.004655701960710523, 'shrink1': -1} - MAP results: 0.022082280738977927 - time: 2018-12-15 13:25:35.639923
BayesianSearch: Config is suboptimal. Config: {'top1': 191, 'lambda_i': 0.9911352939570551, 'lambda_j': 0.988647264467549, 'shrink1': -1} - MAP results: 0.022187528858855124 - time: 2018-12-15 13:29:16.481840
BayesianSearch: Config is suboptimal. Config: {'top1': 271, 'lambda_i': 0.9997992864506572, 'lambda_j': 0.9816477810170354, 'shrink1': -1} - MAP results: 0.022107234493138516 - time: 2018-12-15 13:32:46.445994
BayesianSearch: Config is suboptimal. Config: {'top1': 561, 'lambda_i': 0.05192763674361378, 'lambda_j': 0.03684627224674131, 'shrink1': -1} - MAP results: 0.02144425311507319 - time: 2018-12-15 13:36:23.753701
BayesianSearch: Config is suboptimal. Config: {'top1': 611, 'lambda_i': 0.9826742863306869, 'lambda_j': 0.9766834005278673, 'shrink1': -1} - MAP results: 0.022122567210684767 - time: 2018-12-15 13:40:05.678450
BayesianSearch: Config is suboptimal. Config: {'top1': 31, 'lambda_i': 0.0066656129428962485, 'lambda_j': 0.9971342623855317, 'shrink1': -1} - MAP results: 0.02195386613488798 - time: 2018-12-15 13:43:26.147384
BayesianSearch: New best config found. Config: {'top1': 41, 'lambda_i': 0.19561274503517823, 'lambda_j': 0.006441635847561855, 'shrink1': -1} - MAP results: 0.022507459375697 - time: 2018-12-15 13:46:47.771547
BayesianSearch: Best config is: Config {'top1': 41, 'lambda_i': 0.19561274503517823, 'lambda_j': 0.006441635847561855, 'shrink1': -1}, MAP value is 0.0225
